YEAR,STATE,ANSI,1000ACRES_PLANTED,1000ACRES_HARVESTED
2010,Utah,49,1000,931
2010,Vermont,50,287,280
2010,Virginia,51,2774,2672
2010,Washington,53,3701,3631
2010,West Virginia,54,695,690
2010,Wisconsin,55,7864,7638
2010,Wyoming,56,1634,1563
2009,Alabama,1,2200,2078
2009,Arizona,4,741,734
2009,Arkansas,5,7751,7504
2009,California,6,4153,3585
2009,Colorado,8,6061,5781
2009,Connecticut,9,90,86
2009,Delaware,10,472,463
2009,Florida,12,1041,1014
2009,Georgia,13,3769,3396
2009,Hawaii,15,22,22
2009,Idaho,16,4329,4186
2009,Illinois,17,22945,22747
2009,Indiana,18,12155,12087
2009,Iowa,19,24648,24387
2009,Kansas,20,22669,21876
2009,Kentucky,21,5769,5629
2009,Louisiana,22,3410,3288
2009,Maine,23,281,276
2009,Maryland,24,1452,1395
2009,Massachusetts,25,102,99
2009,Michigan,26,6436,6301
2009,Minnesota,27,19595,19256
2009,Mississippi,28,4354,4163
2009,Missouri,29,13556,13403
2009,Montana,30,9100,8689
2009,Nebraska,31,19035,18590
2009,Nevada,32,519,512
2009,New Hampshire,33,72,72
2009,New Jersey,34,315,307
2009,New Mexico,35,1045,714
2009,New York,36,2935,2886
2009,North Carolina,37,4925,4714
2009,North Dakota,38,21583,20916
2009,Ohio,39,10021,9911
2009,Oklahoma,40,10562,8002
2009,Oregon,41,2124,2079
2009,Pennsylvania,42,3728,3653
2009,Rhode Island,44,10,9
2009,South Carolina,45,1654,1591
2009,South Dakota,46,17352,16809
2009,Tennessee,47,4907,4727
2009,Texas,48,22465,15618
2009,Utah,49,994,936
2009,Vermont,50,281,273
2009,Virginia,51,2671,2573
2009,Washington,53,3600,3511
2009,West Virginia,54,701,695
2009,Wisconsin,55,8160,7924
2009,Wyoming,56,1705,1613
2008,Alabama,1,2308,2199
2008,Arizona,4,742,734
2008,Arkansas,5,8361,8196
2008,California,6,4432,3853
2008,Colorado,8,5972,5403
2008,Connecticut,9,85,81
2008,Delaware,10,480,472
2008,Florida,12,1074,1051
2008,Georgia,13,3971,3632
2008,Hawaii,15,23,23
2008,Idaho,16,4296,4134
2008,Illinois,17,23251,23004
2008,Indiana,18,12335,12155
2008,Iowa,19,24790,24330
2008,Kansas,20,22764,21814
2008,Kentucky,21,5929,5792
2008,Louisiana,22,3695,3494
2008,Maine,23,275,268
2008,Maryland,24,1463,1363
2008,Massachusetts,25,95,91
2008,Michigan,26,6517,6454
2008,Minnesota,27,19778,19401
2008,Mississippi,28,4662,4573
2008,Missouri,29,14070,13690
2008,Montana,30,9199,8774
2008,Nebraska,31,18819,18444
2008,Nevada,32,490,478
2008,New Hampshire,33,68,67
2008,New Jersey,34,332,326
2008,New Mexico,35,1104,783
2008,New York,36,2898,2861
2008,North Carolina,37,5032,4855
2008,North Dakota,38,23745,22703
2008,Ohio,39,10147,10031
2008,Oklahoma,40,10149,8684
2008,Oregon,41,2194,2136
2008,Pennsylvania,42,3924,3858
2008,Rhode Island,44,10,10
2008,South Carolina,45,1715,1660
2008,South Dakota,46,17533,17039
2008,Tennessee,47,5003,4860
2008,Texas,48,22438,17278
2008,Utah,49,996,936
2008,Vermont,50,274,266
2008,Virginia,51,2815,2734
2008,Washington,53,3597,3537
2008,West Virginia,54,678,673
2008,Wisconsin,55,8066,7890
2008,Wyoming,56,1469,1406
2007,Alabama,1,2068,1918
2007,Arizona,4,688,679
2007,Arkansas,5,8256,8056
2007,California,6,4304,3787
2007,Colorado,8,6156,5837
2007,Connecticut,9,90,88
2007,Delaware,10,440,428
2007,Florida,12,1041,1014
2007,Georgia,13,3769,3331
2007,Hawaii,15,23,23
2007,Idaho,16,4294,4155
2007,Illinois,17,23201,22979
2007,Indiana,18,12305,12198
2007,Iowa,19,24410,24245
2007,Kansas,20,22941,20883
2007,Kentucky,21,5804,5571
2007,Louisiana,22,3365,3319
2007,Maine,23,283,278
2007,Maryland,24,1423,1332
2007,Massachusetts,25,104,101
2007,Michigan,26,6517,6444
2007,Minnesota,27,19543,19160
2007,Mississippi,28,4644,4533
2007,Missouri,29,13853,13501
2007,Montana,30,8864,8535
2007,Nebraska,31,18742,18382
2007,Nevada,32,498,486
2007,New Hampshire,33,60,60
2007,New Jersey,34,327,319
2007,New Mexico,35,1154,949
2007,New York,36,2864,2799
2007,North Carolina,37,4714,4446
2007,North Dakota,38,22099,21473
2007,Ohio,39,10056,9855
2007,Oklahoma,40,10398,7644
2007,Oregon,41,2115,2045
2007,Pennsylvania,42,4008,3917
2007,Rhode Island,44,11,11
2007,South Carolina,45,1643,1529
2007,South Dakota,46,16688,16098
2007,Tennessee,47,4612,4359
2007,Texas,48,22621,19174
2007,Utah,49,1001,939
2007,Vermont,50,312,307
2007,Virginia,51,2792,2711
2007,Washington,53,3647,3583
2007,West Virginia,54,669,665
2007,Wisconsin,55,8100,7906
2007,Wyoming,56,1500,1436
2006,Alabama,1,1982,1833
2006,Arizona,4,674,665
2006,Arkansas,5,7769,7646
2006,California,6,4371,3877
2006,Colorado,8,5678,5107
2006,Connecticut,9,92,91
2006,Delaware,10,442,431
2006,Florida,12,998,977
2006,Georgia,13,3652,3229
2006,Hawaii,15,22,22
2006,Idaho,16,4293,4134
2006,Illinois,17,23232,23094
2006,Indiana,18,12345,12284
2006,Iowa,19,24485,24298
2006,Kansas,20,22506,21413
2006,Kentucky,21,5526,5399
2006,Louisiana,22,3185,3128
2006,Maine,23,274,269
2006,Maryland,24,1429,1315
2006,Massachusetts,25,105,102
2006,Michigan,26,6519,6461
2006,Minnesota,27,19682,19327
2006,Mississippi,28,4327,4277
2006,Missouri,29,13855,13694
2006,Montana,30,8559,8269
2006,Nebraska,31,18689,18215
2006,Nevada,32,508,493
2006,New Hampshire,33,65,65
2006,New Jersey,34,314,307
2006,New Mexico,35,1078,722
2006,New York,36,2917,2869
2006,North Carolina,37,4643,4438
2006,North Dakota,38,21501,20391
2006,Ohio,39,10082,9966
2006,Oklahoma,40,10418,7541
2006,Oregon,41,2144,2066
2006,Pennsylvania,42,3912,3850
2006,Rhode Island,44,10,10
2006,South Carolina,45,1626,1583
2006,South Dakota,46,16222,14392
2006,Tennessee,47,4554,4425
2006,Texas,48,22315,14343
2006,Utah,49,1007,948
2006,Vermont,50,335,331
2006,Virginia,51,2652,2572
2006,Washington,53,3639,3551
2006,West Virginia,54,660,656
2006,Wisconsin,55,8193,7982
2006,Wyoming,56,1483,1407
2005,Alabama,1,2037,1932
2005,Arizona,4,730,719
2005,Arkansas,5,7559,7444
2005,California,6,4487,3985
2005,Colorado,8,6210,5692
2005,Connecticut,9,93,91
2005,Delaware,10,443,436
2005,Florida,12,1061,1032
2005,Georgia,13,3656,3193
2005,Hawaii,15,24,24
2005,Idaho,16,4219,4048
2005,Illinois,17,23111,22975
2005,Indiana,18,12330,12249
2005,Iowa,19,24680,24470
2005,Kansas,20,22711,21937
2005,Kentucky,21,5415,5308
2005,Louisiana,22,3365,3303
2005,Maine,23,290,281
2005,Maryland,24,1345,1309
2005,Massachusetts,25,113,110
2005,Michigan,26,6537,6481
2005,Minnesota,27,19377,18943
2005,Mississippi,28,4305,4261
2005,Missouri,29,13474,13343
2005,Montana,30,9495,9124
2005,Nebraska,31,18867,18508
2005,Nevada,32,479,471
2005,New Hampshire,33,72,71
2005,New Jersey,34,323,312
2005,New Mexico,35,1138,942
2005,New York,36,3088,3046
2005,North Carolina,37,4635,4435
2005,North Dakota,38,21317,20445
2005,Ohio,39,10103,9992
2005,Oklahoma,40,10150,8109
2005,Oregon,41,2169,2067
2005,Pennsylvania,42,3753,3687
2005,Rhode Island,44,12,12
2005,South Carolina,45,1583,1546
2005,South Dakota,46,16998,16407
2005,Tennessee,47,4590,4459
2005,Texas,48,22265,18621
2005,Utah,49,1013,938
2005,Vermont,50,335,330
2005,Virginia,51,2732,2659
2005,Washington,53,3615,3532
2005,West Virginia,54,645,641
2005,Wisconsin,55,8197,7911
2005,Wyoming,56,1589,1512
2004,Alabama,1,2162,2053
2004,Arizona,4,742,733
2004,Arkansas,5,8141,8013
2004,California,6,4722,4195
2004,Colorado,8,6157,5304
2004,Connecticut,9,98,95
2004,Delaware,10,468,459
2004,Florida,12,1042,1014
2004,Georgia,13,3863,3388
2004,Hawaii,15,23,23
2004,Idaho,16,4360,4188
2004,Illinois,17,23515,23384
2004,Indiana,18,12393,12309
2004,Iowa,19,24748,24544
2004,Kansas,20,22854,20877
2004,Kentucky,21,5529,5361
2004,Louisiana,22,3658,3509
2004,Maine,23,304,296
2004,Maryland,24,1418,1390
2004,Massachusetts,25,112,109
2004,Michigan,26,6452,6372
2004,Minnesota,27,19711,19140
2004,Mississippi,28,4375,4303
2004,Missouri,29,14110,13913
2004,Montana,30,9222,8536
2004,Nebraska,31,18804,18240
2004,Nevada,32,449,442
2004,New Hampshire,33,72,71
2004,New Jersey,34,344,336
2004,New Mexico,35,1192,984
2004,New York,36,2653,2615
2004,North Carolina,37,4765,4543
2004,North Dakota,38,21171,19522
2004,Ohio,39,9991,9865
2004,Oklahoma,40,10705,8873
2004,Oregon,41,2371,2286
2004,Pennsylvania,42,3893,3831
2004,Rhode Island,44,12,12
2004,South Carolina,45,1699,1648
2004,South Dakota,46,17314,16393
2004,Tennessee,47,4805,4639
2004,Texas,48,23119,19143
2004,Utah,49,1028,954
2004,Vermont,50,325,320
2004,Virginia,51,2751,2688
2004,Washington,53,3754,3679
2004,West Virginia,54,651,646
2004,Wisconsin,55,7960,7698
2004,Wyoming,56,1441,1367
